public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
20180430,Consumer Staples,136,-0.016329,-0.038412,0.296,0.66,0.367,18.576,2.30%,12.283,12.397,16.654,17.152,19.492,19.583,1.361,2.348,0.308,0.391,0.109,0.109,0.092,0.34,0.036,0.066,0.102,0.148,0.217,0.043,0.122,0.104,0.109,0.37,0.61,0.374,0.445,0.378,0.259,0.656,0.462,0.143,0.091,0.071,0.102,0.613,0.416,2.089,0.472,0.051,0.044,0.413,2.801,1.227,0.585,0.305,0.487,4.656,5.117,57.835,0.29,1.735,0.961,1.214,5.471,8.95,11.022,2.62,1.688,5.486,0.034,0,0.008,0
20180430,Energy,201,0.106635,0.097598,0,-0.004,0.683,-1.971,1.99%,9.54,7.307,-0.238,-0.238,-0.089,-0.089,1.648,1.544,-0.014,0.133,0.019,0.015,0.035,0.314,0.003,0.023,0.187,0.01,0.012,-0.012,0.09,0.011,0.005,0.324,0.623,0.32,0.362,0.063,0.421,-0.272,0.551,0.129,0.116,0.174,0.006,0.636,0.264,2.403,0.452,0.068,0.065,0.554,0.717,0.793,0.481,0.269,0.409,1.1,0.289,42.974,0.399,1.389,1.198,0.394,15.728,6.871,6.436,0.777,0.472,4.46,0.075,0,0,0
20180430,Financials,600,0.010936,-0.001469,0.333,1.413,0.661,23.767,1.97%,12.293,12.349,20.435,20.363,17.833,18.026,3.49,1.528,0.36,0.038,0.076,0.076,0,0.814,0.152,0.402,0.433,0.224,0.511,0.259,0.023,0.101,0.077,0.205,0.782,0.205,0.462,0,0.261,0.928,0.512,0.016,0.057,0.192,0.416,0.785,0.563,3.31,0.258,0.053,0.046,0.039,64.029,7.148,0.878,0.086,0.875,3.803,5.177,163.574,1.054,1.887,1.639,0.05,1.808,0.011,0.074,0.466,0.352,5.023,0.006,0,0.008,0.307
20180430,Health Care,688,0.000643,0.012762,0,-0.018,0.257,-3.905,1.12%,-3.189,-2.529,-3.005,-2.937,-2.713,-2.727,6.018,4.297,0.288,0.08,-0.364,-0.39,-0.244,0.37,-0.388,-0.341,-0.268,-0.392,-0.451,-0.402,-0.282,-0.319,-0.375,0.049,0.892,0.064,0.134,0,0.081,0.766,-1.267,-0.506,1.191,-0.308,0.082,-1.418,0.552,0,0.045,0.084,0.072,0.128,7.975,0.495,0.387,0.101,0.193,-6.191,-5.528,91.838,2.601,3.504,3.194,0.447,3.351,6.851,6.125,0.891,0.616,1.176,0.084,0.129,0,0
20180430,Industrials,474,-0.01735,-0.027084,0.147,0.419,0.422,23.274,1.42%,11.835,12.521,17.604,17.582,19.996,20.216,1.121,2.222,0.269,0.263,0.108,0.108,0.082,0.286,0.039,0.071,0.11,0.115,0.179,0.052,0.116,0.109,0.103,0.348,0.639,0.347,0.393,0.259,0.396,0.638,0.346,0.131,0.123,0.076,0.053,0.526,0.419,2.041,0.499,0.052,0.047,0.414,3.382,1.252,0.567,0.273,0.452,4.421,5.92,73.612,0.321,1.908,1.352,0.992,5.32,9.662,6.506,2.263,1.449,5.037,0.037,0,0,0
20180430,Information Technology,565,-0.002521,0.000895,0,0.176,0.302,14.495,1.61%,12.25,13.97,5.544,5.789,13.736,14.173,2.33,3.227,0.274,0.364,0.026,0.023,0.004,0.528,0.004,0.041,0.085,0.059,0.11,0.016,0.074,0.056,0.023,0.12,0.849,0.13,0.194,0.029,0.271,0.78,0.261,0.126,0.527,0.051,0.081,0.278,0.644,0.456,0.127,0.061,0.051,0.184,6.852,0.79,0.483,0.13,0.281,1.472,3.133,72.543,0.96,2.047,1.804,0.776,4.511,7.763,5.902,1.387,1.114,2.618,0.08,0.116,0.001,0
20180430,Materials,149,0.012314,0.004014,0.222,0.479,0.44,19.68,1.67%,10.673,10.974,16.415,15.273,18.326,18.475,1.281,2.312,0.223,0.204,0.103,0.106,0.083,0.278,0.044,0.094,0.142,0.113,0.15,0.062,0.122,0.105,0.107,0.399,0.574,0.399,0.421,0.342,0.339,0.55,0.438,0.129,0.108,0.103,0.031,0.713,0.271,2.361,0.612,0.055,0.052,0.489,1.594,1.351,0.577,0.3,0.479,3.499,4.616,76.335,0.354,2.262,1.306,0.807,5.286,8.319,7.594,2.027,1.128,4.295,0.039,0.004,0,0
20180430,Real Estate,40,-0.009083,0.00028,0.18,0.3,0.514,27.425,3.08%,16.749,16.276,19.87,19.198,18.874,19.174,4.07,2.052,0.108,0.089,0.091,0.088,0.072,0.367,0.116,0.152,0.241,0.147,0.387,0.144,0.067,0.067,0.092,0.36,0.6,0.35,0.458,0,0.264,0.779,0.816,0.115,0.127,0.245,0.037,0.733,0.388,4.952,0.537,0.052,0.047,0.672,1.2,1.046,0.511,0.345,0.46,3.558,3.016,89.953,0.632,1.651,1.321,0.203,4.917,10.577,6.712,0.496,0.31,4.422,0.023,0,0,0
20180430,Utilities,77,0.033377,0.025065,0.609,2.095,0.594,24.78,3.12%,11.601,8.723,18.506,18.506,20.332,20.471,2.309,1.61,0.31,0.083,0.099,0.099,0.061,0.343,0.101,0.206,0.337,0.066,0.077,0.137,0.084,0.085,0.072,0.493,0.5,0.488,0.582,0.157,0.471,-0.043,0.6,0.095,0.01,0.241,0.115,0.778,0.158,4.088,0.766,0.053,0.047,0.442,0.932,2.316,0.692,0.349,0.563,2.939,3.395,32.947,0.063,0.8,0.618,0.251,11.569,6.667,7.201,0.84,0.412,14.953,0.039,0,0,0
20180531,Communication Services,30,-0.043811,-0.03127,0.174,0,0.51,3.074,4.51%,7.298,3.208,-0.383,-0.383,12.625,12.726,1.392,1.581,-0.435,0.272,-0.027,-0.027,0.037,0.569,-0.001,0.075,0.273,0.046,0.071,-0.001,0.119,0.04,-0.007,0.546,0.454,0.546,0.581,0.04,0.351,0.192,0.797,0.119,0.116,0.171,0.04,0.997,0.193,3.273,1.02,0.07,0.068,0.595,1.951,1.692,0.692,0.438,0.592,1.27,0.948,17.074,0.586,1.133,1.086,0.49,19.57,7.28,8.658,1.469,0.626,3.902,0.086,0,0.013,0
